h3_cell,lat,lon,risk_debiased,exposure,violation_count,severity_score,impact_score,peak_dow,deterrence_effect,peak_day
8961892f5a7ffff,13.014433207242126,77.71025064321896,0.0074002911577152,1,7,7.857142857142857,0.05814514481061943,2,0.0,Wed
89618925ac3ffff,12.96344705611618,77.61542193463187,0.0040396478842718,2,10,7.3,0.029489429555184143,0,0.0,Mon
8961892cd53ffff,13.02868318148474,77.6062895668803,0.0052456533288727,1,3,5.0,0.0262282666443635,1,0.0,Tue
8961892ab8fffff,13.054877269469031,77.76641754524937,0.0062267413604015,1,4,4.0,0.024906965441606,1,0.0,Tue
8961892e0abffff,12.98884656894658,77.68811856958938,0.0056675908645558,1,11,3.727272727272727,0.02112465685879889,6,0.0,Sun
89601451e7bffff,12.905155679883205,77.4743256227368,0.004190459846944,1,3,5.0,0.02095229923472,2,0.0,Wed
8960145123bffff,12.912505887439655,77.5123095967593,0.0044651509540506,1,3,4.0,0.0178606038162024,6,0.0,Sun
8961892ee87ffff,12.99217348852156,77.65504525978085,0.0040877422417432,1,3,4.333333333333333,0.017713549714220532,5,0.0,Sat
8961892714fffff,12.89052495826668,77.67077665690034,0.0042594246637641,1,4,4.0,0.0170376986550564,6,0.0,Sun
89601692a5bffff,13.181341405395496,77.67695202835893,0.003867438107929,1,3,4.0,0.015469752431716,4,0.0,Fri
89618924b6bffff,12.914504006738404,77.55202672536275,0.003831991887894,1,4,4.0,0.015327967551576,0,0.0,Mon
89618921d23ffff,12.97047400435784,77.73782018508274,0.0037787934577112,1,3,4.0,0.0151151738308448,1,0.0,Tue
89601691157ffff,13.251823139164271,77.70830901278836,0.0036545542795456,1,3,4.0,0.0146182171181824,5,0.0,Sat
8960144a64bffff,13.064358260541509,77.45349758197017,0.0037893232850307,1,3,3.6666666666666665,0.0138941853784459,6,0.0,Sun
89618934a1bffff,12.80698335520147,77.69584322324312,0.0028670453743336,2,11,4.6,0.01318840872193456,6,0.0,Sun
8961892ec8bffff,12.973999837334668,77.6541336598593,0.0040497173881944,1,11,3.1818181818181817,0.01288546441698218,6,0.0,Sun
89618921b37ffff,13.00475251629074,77.72515165682294,0.003213358331583,2,4,4.0,0.012853433326332,2,0.0,Wed
896016964a3ffff,13.07576372984184,77.58781894705328,0.0055100404421783,1,6,2.0,0.0110200808843566,6,0.0,Sun
8960169648fffff,13.07788412984549,77.59387442042376,0.0055100404421783,1,3,2.0,0.0110200808843566,6,0.0,Sun
89601696423ffff,13.083255618054336,77.5837311496285,0.0055100404421783,1,7,2.0,0.0110200808843566,6,0.0,Sun
896016965cbffff,13.07899122118661,77.58004798915421,0.0055100404421783,1,3,2.0,0.0110200808843566,6,0.0,Sun
8960145a5d7ffff,12.9155919099547,77.54663232919424,0.0032844124696578,1,3,3.333333333333333,0.010948041565526,3,0.0,Thu
8961892462bffff,12.899187616431629,77.64443218728928,0.0025011234033348,2,7,4.0,0.0100044936133392,3,0.0,Thu
8961892037bffff,12.96395845149131,77.76182126613912,0.0026518744120275,2,7,3.571428571428572,0.009470980042955358,2,0.0,Wed
89618934a47ffff,12.812340174182944,77.69412851328974,0.0033960810207408,1,7,2.7142857142857144,0.0092179341991536,2,0.0,Wed
8961892f67bffff,13.06138032204946,77.74240825598703,0.0021078815044592,1,3,4.0,0.0084315260178368,1,0.0,Tue
89618921d53ffff,12.975762688350596,77.75298263157443,0.0020858920872393,2,3,4.0,0.0083435683489572,6,0.0,Sun
89618920e57ffff,12.952257346136346,77.74534102894405,0.0018893304616165,2,18,3.764705882352941,0.0071127735025562355,5,0.0,Sat
8961892ed43ffff,12.978353657521334,77.63253030668535,0.0020284319362721,2,7,2.857142857142857,0.005795519817920286,1,0.0,Tue
89601451233ffff,12.909302670040107,77.51165548452427,0.0051308182684987,1,5,1.0,0.0051308182684987,6,0.0,Sun
